Ukrainian,English
енді,Andy
особенно,special
прокляття,curse
дає,gives
настолько,Infusion
нащо,Why
сложно,Small
нью-йорк,New York
камінь,stone
долларов,Dollarov
класно,Cool
другое,the second
щодня,daily
позволить,Will allow
половину,half
їжу,food
клуб,club
облиш,You lick
говорять,They say
небезпечно,dangerously
боль,pain
чувствуешь,You hear
тижнів,weeks
ура,Hooray
днк,DNA
братом,brother
ян,Jan
самому,herself
країні,country
вибачення,apology
цукуне,Tsukun
комнату,Comnate
собирается,Store
вікно,window
тип,type
звали,The name was
любом,Anyone
рассказал,Rascasal
парнем,steamed
скаже,will say
стара,Old
сядь,Sit down
образом,image
босс,Boss
девочка,Devochka
серця,hearts
рота,mouth
работаю,I work
плюс,plus
залишиться,will remain
сами,self
умерла,died
пойдём,I will go
кімната,room
пґ,PG
имени,Names
прийняти,to accept
фродо,Frodo
карл,Charles
уваги,attention
мертві,the dead
придурок,dork
поїду,I'll go
господин,Lord
збирається,is going
думка,opinion
батьком,Father
чему,something
єдине,The only one
уявити,imagine
лежить,lying
джей,Jay
ушла,Gone
шон,Sean
обід,dinner
батьку,father
году,HOW
стороне,side
імені,name
чекають,are waiting
су,Su
получится,will get
свет,Sweet
невозможно,Impossible
познакомиться,Put up
любой,Anyone
життям,life
стріляти,shoot
гори,Mountains
послушайте,Listen
недели,The unanswered
втекти,escape
защитить,To stretch
увидел,Invidel
захистити,to protect
больнице,Bolnice
усього,All
стоило,Stoilo
адам,Adam
ліжко,bed
потрапити,to get
річарде,Richard
забагато,too much
другим,Second
всей,All
ворота,goal
коп,cop
дочка,daughter
відпусти,let go
ммм,mmm
зірки,stars
собака,dog
більшість,majority
вперёд,forward
першого,the first
означает,mean
кращий,better
поїхав,Went
совершенно,Store
муад,MUAD
вирішили,Decided
одяг,clothing
востаннє,last
герой,hero
ліжку,bed
наконец-то,finally
втік,fled
слухати,listen
хочется,It wants
страшного,terrible
друзьями,friends
тата,Dad
дивишся,You look
вечеринку,Evening
замок,Castle
наконец,Those
трішки,a little
делают,Delay
залиште,Leave
месяц,Muscle
нечего,not
солдат,soldier
утра,The morning
вірити,believe
удачи,Sea
сем,seven
інша,another
щасливий,happy
першим,first
доля,fate
жартуєш,You're kidding
леонард,Leonard
сучий,Bowl
певно,probably
розслабся,Relax
видите,See
увагу,attention
курсе,The course
возможность,Inframe
кудись,somewhere
нашёл,Those
смотрите,Stud
убивать,Kill
кольцо,Kolzo
ввиду,at the forefront
погляньте,Look
конце,The end
втратили,lost
понадобится,To be used
помоги,help
связи,Setting
участь,participation
дозволити,Allow
розповів,told
капитан,Capitan
поговорю,I will talk
іншу,another
народу,people
штуку,a piece
приїхали,They arrived
ник,Nick
большая,Bolshaya
переживай,Experience
біль,pain
стіни,Walls
ють,go
семье,Seven
зроблено,done
поверь,Come back
скажите,Say
помилка,error
залишається,It remains
повертайся,Come back
предложение,Presentation
спить,Sleep
подалі,away
пить,He drinks
расскажи,Red
всередину,within
просила,She asked
потрібне,needed
боїшся,You are afraid
систему,system
подобаються,Like
вгору,above
старі,old
дівчат,girls
неделе,Nedle
принеси,Bring
якесь,Something
хорошие,Good
ответ,Out
знаходиться,located
спокойно,calmly
рюй,Rui
дерево,tree
півночі,North
зад,ass
стійте,Stand
случится,will come
правило,rule
знадобиться,It will be needed
больницу,Bolnitsa
стосується,concerns
допомогою,by helping
мова,language
бійся,Fear
сделаешь,You go
сан,dignity
почнемо,Let's start
однієї,one
тій,that
готель,hotel
вважає,believes
вечерю,dinner
каким,Koki
черта,a snooze
решила,She dredged
отримаєш,You get
ехать,Echay
різниця,difference
вбивати,to kill
привести,to bring
замечательно,Fragrant
болить,hurts
своем,to your own
дізнався,learned
справжня,Real
секрет,secret
інформацію,information
получилось,It got caught
зброї,weapons
остання,Last
ресторан,restaurant
залежить,depends
поїдемо,Let's go
намного,Naming
чжи,Zhi
жодної,none
бн,Bn
каву,Coffee
обіцяв,promised
конца,Concepts
смогла,Small
убив,killed
мак,poppy
истории,History
жертва,victim
дружиною,with his wife
мозок,brain
никуда,Nikuda
врятував,Saved
друзями,friends
справ,affairs
будь-ласка,please
подивимося,Let's see
проект,project
миллионов,Millionov
читати,read
оттуда,Ottoud
намагається,tries
декстер,Dexter
минуле,past
поряд,near
продовжуй,Continue
небо,sky
кави,Coffee
бій,fight
дух,spirit
первая,The first one
команду,command
прекрасна,Beautiful
зможете,You can
немедленно,unharmed
например,for example
находится,It is
идём,I am
маленькая,Little
тримайте,Hold
спокойной,calm
кожному,to everyone
купила,Bought
яйця,eggs
дверей,Door
девочки,Devochi
моєму,Mine
познайомитися,to meet
мбт,MBT
сидеть,Side
хотелось,It was meant
ситуація,situation
месяца,Mouse
занят,Classes
ідіот,idiot
проблему,the problem
дивиться,Looks
настоящий,present
решта,rest
шериф,sheriff
відкрити,open
причин,reasons
лист,letter
чуєте,You hear
словами,in words
сделает,Side
голове,Head
подорож,travel
реально,Real
працюєш,You work
девушки,The guns
душ,shower
розум,mind
джеку,Jack
година,hour
стіл,table
лікаря,a doctor
дзвінок,Call
нём,it is
зміни,changes
люк,hatch
гейб,Gabe
музику,Music
документи,Documents
складно,difficult
світла,light
запитання,question
улице,The street
бік,side
жизнью,Life
їхав,He was driving
візьміть,Take it
подзвонити,to call
вважаєш,You think
ребёнка,The baby
єш,Yes
божевільний,crazy
смешно,Thoroughly
благодаря,Grace
едю,Eda
придет,Purchase
меч,sword
чекав,Waited
сказано,It is said
надзвичайно,extremely
позаду,behind
труп,corpse
навсегда,At all
бар,bar
третій,third
обоє,Both
такую,so
разобраться,Roll out
знайди,Find
хотілося,I wanted
живуть,live
просив,Asked
команди,teams
церкви,Church
становится,becomes
забула,Forgot
позвоню,I will
розмовляти,talk
джона,John
забути,forget
президента,President
їде,goes
письмо,writing
добридень,Good afternoon
писати,write
країни,countries
побачимось,See you
жінкою,a woman
поехать,Sweat
контроль,CONTROL
донька,Daughter
вибору,choice
знов,again
райан,Ryan
сержант,sergeant
святого,saint
нашій,ours
гарне,nice
іншими,others
вероятно,Verovy
преступления,Crime
дзвонив,Called
око,eye
близко,Bright
подумать,think
багатьох,many
щрн,Shrrn
вау,wow
нашими,ours
спенсер,Spencer
королем,King
армії,Army
їв,ate
свободу,freedom
зрозуміли,understood
замовкни,Shut up
твоему,Your
збирався,was going
женщину,women
віриш,You believe
кого-нибудь,Someone
ану,Anu
блль,Bl
хорошим,good
парней,Paired
побачимо,Let's see
такої,It is
камеру,Camera
барбі,Barbie
одній,one
ліки,medicine
всеми,All
просил,asked
старк,Stark
девід,David
груди,breast
пошёл,Embrace
мамой,Mom
офис,offs
останнім,last
блин,Blin
зник,disappeared
ушел,Swar
вбивця,The killer
потрібний,necessary
кем-то,Kem
какое-то,Kakoe
брак,Debt
радіо,radio
кимось,by someone
ранее,Ranee
кар,CARE
їду,I go
историю,History
сестру,sister
пісня,song
убити,kill
поганий,poor
хлопцем,guy
таблетки,Tablets
попасть,will get
школа,school
дістати,to get
другую,I am second
похож,Come on
група,group
связь,Sleep
держись,Hold on
почув,Heard
написати,write
сталось,It happened
зла,Evil
перстень,ring
лишень,Only
вбивства,murder
своему,to your own
мамою,Mom
чертовски,Chertov
чекайте,Wait
ятай,Yatay
вопросов,The questions
святий,holy
единственная,Edious
дитя,child
першу,first
працюють,work
пісню,The song
заплатити,pay
поліцію,Police
города,City
кімнати,rooms
речь,Say
самая,Samaya
мертв,Dead
тест,test
забрав,took away
точки,points
шелдон,Sheldon
делала,Dellating
роуз,Rose
никакой,Nicakoy
всюди,throughout
любив,loved
какая-то,Kakaya something
делаем,We delay
чек,check
заберу,I will take away
купил,Swim
рой,Roy
починається,begins
мамі,Mom
карен,Karen
попрошу,I will ask
помощи,Help
делу,Della
уфзн,UFZN
брось,Brody
дурень,fool
іще,Even more
сидить,sits
отличная,Honey
питер,Peter
хи,hi
приблизно,about
явився,appeared
адвоката,lawyer
продолжай,Dolzhai
якими,What
черга,turn
пй,Pu
дехто,some
зло,evil
молодец,Young
вийшла,It came out
їдь,Go
поттер,Potter
підійди,come
стосунки,relationships
уехать,Get
незабаром,soon
розуму,the mind
спитати,ask
ятаєте,You do not
джейн,Jane
впевнені,sure
согласен,Soglasen
оставаться,will remain
дитини,baby
роман,novel
девушку,The girl
лікарю,to the doctor
убила,Killed
решили,They dredged
брехня,lie
морган,Morgan
головою,head
игра,game
дивився,looked
довіряти,trust
цель,CLAIM
рассказала,scattered
іде,goes
продати,sell
робила,did it
цру,CIA
вампир,vampire
рухатися,move
тими,by those
шеф,chief
називають,called
дитиною,baby
платить,pays
поля,fields
дороге,Dear
отримала,Got it
погані,Bad
плани,Plans
принц,prince
йо,Yo
написала,She wrote
мира,Peace
убью,Kind
попробовать,Twist
рухайся,Move
необходимо,We need
грає,plays
молодий,young
знайдеш,You will find
неважно,It doesn't matter
повернення,return
вітання,greeting
ходив,Went
наверх,upstairs
садись,Save
хворий,patient
армія,army
тему,The subject
сожалею,sowing
залишився,remained
кларк,Clark
випадково,accidentally
имел,Imel
недель,Nedel
джен,Jen
родителей,Cups
гораздо,Gorzo
вечірку,party
найбільше,most
потеряла,She shake
відео,video
сенсу,meaning
по-моему,in my opinion
сидів,sat
очередь,Outside
останнє,Last
части,part
принесла,brought
коло,circle
чоловіче,Men's
заняться,will be occupied
бізнес,business
купа,pile
попереду,ahead
одном,one
чорний,black
вирішила,I decided
беру,I take
пройшло,It has passed
джейсон,Jason
ізмаїл,Ishmael
вечеринка,Evening
жену,Woman
відчуваєш,You feel
дасть,will give
всесвіт,universe
обоих,of both of them
касл,CASL
никак,Nikak
значно,much
прошлом,Siege
річард,Richard
їжі,food
передай,Transfer
ділейні,Dileini
захочешь,You want
скоріше,Rather
зобов,Obst
верить,Veriv
двічі,twice
любил,loved
ніякої,No
жила,Lived
вещей,Fire
получила,She received
будь-якому,to anyone
бачить,sees
допомоги,assistance
опасности,Watching
поговори,Talk
первое,First
захист,protection
каждого,Am
робіть,Do
бувайте,Be
нелегко,not easy
прізвище,name
вище,above
отцу,Father
різні,different
настав,It has come
дощ,rain
читав,read
михо,Miho
просить,Asks
узнает,Establite
ублюдок,bastard
сонця,sun
пені,Penny
польщі,Poland
забавно,Funny
долю,fate
плевать,Plevat
встречи,Get
звільнити,to release
оюк,Oyuk
мистера,the artist
закінчив,finished
поздравляю,I congratulate
змогли,They were able to
дівчиною,a girl
состоянии,Sotonia
среди,Age
счет,Schet
закінчиться,will end
зразок,sample
найдем,Nanda
получили,received
ребёнок,The baby
погана,Bad
вечірка,party
деб,Deb
приїхала,She arrived
всесвіту,Universe
сплю,I sleep
половина,half
рівень,level
роду,kind
попросила,She asked
помре,will die
листа,a letter
гостей,guests
дружини,Wives
скрізь,everywhere
прем,prem
боротися,fight
хорош,good
групи,groups
спину,back
часі,time
початок,beginning
уолт,Walt
курс,course
генри,Henry
помощью,help
найбільш,most
тюрьме,Prison
многие,Many
хорошего,good
майя,Maya
душа,soul
сенс,sense
цюм,Those
зміст,content
північ,North
глаз,The eye
повно,full
женщин,women
клер,Claire
мю,mu
бос,boss
бекет,Beckett
залишатися,remain
професор,professor
вовсе,Wolf
цікавить,Interested
красивая,Beautiful
спала,Sleep
бляха,badge
солдати,Soldiers
зняти,withdraw
коннор,Connor
расскажу,Roses
імена,names
використовувати,use
носить,wears
вали,shafts
салли,Sally
ймовірно,probably
місяця,the month
глузду,sense
контролем,control
обед,Over
куплю,I will buy
форму,form
внутрь,Inner
тед,Ted
маме,Mom
вверх,up
потрапив,got it
глупо,stupidly
получается,obtained
слов,words
касается,Cassaua
вуха,ears
боги,The gods
рак,cancer
звонил,Delivered
встреча,Vstretch
статус,status
договорились,Agreened
единственное,Edious
попробуй,Tw you
боці,side
вкрав,stole
позвони,Those
дар,gift
америки,America
адрес,address
подзвоню,I will call
сукин,Sukin
офицер,officer
первой,First
плани,Plans
полицию,Polytia
нуль,zero
питань,issues
док,dock
мов,as
сили,strength
ворог,enemy
самим,by itself
закінчити,to finish
забрал,Removed
відколи,chips
шаг,Step
суду,the court
відповіді,Answers
снаружи,Snaruzhi
мільйон,million
скайлер,Skyler
уяви,Imagine
зайнятий,busy
згідно,according to
моменту,moment
інколи,sometimes
банк,bank
миль,miles
моїми,mine
мер,mayor
банку,the bank
забули,Forgot
думають,think
встречу,I will get
рут,Ruth
собаки,dogs
злотих,zloty
спав,He slept
заниматься,will get down
мільйони,Millions
раді,Council
свидания,Swing
ідеї,Ideas
генерал,general
веришь,You think
всій,All
решту,the rest
штуки,pieces
повернусь,I'll come back
отримає,will get
хорошее,Good
отдай,Read
коштує,is worth it
ісусе,Jesus
кораблі,ships
штани,pants
купи,heap
зовні,outside
продовжувати,continue
твоем,yours
дідька,Did
добрі,Good
позволю,I will allow
матерью,Mater
жоден,none
сенсі,The sense
доверять,They will be completed
лісі,Forest
пустелі,deserts
невдовзі,shortly
огонь,fire
загинув,died
домі,Homes
сильнее,Strong
уперед,ahead
довести,prove
повернешся,You will come back
захочеш,You want
будь-який,Any
платити,pay
ув,Up
самой,Samoy
волі,will
котором,by the one
упевнений,confident
стані,state
напад,attack
джим,Jim
пєя,Pey
сісти,sit down
хан,khan
великим,Great
відділ,department
случайно,Case
вашій,yours
горло,throat
розповім,I will tell
ніс,nose
бене,Ben
однак,however
передати,pass
вполне,Lid
чуваче,Sneak
центрі,Center
самий,very
справжнє,Real
дел,Del
следующей,The traveling
спи,Sleep
кажете,You say
жду,Wait
многое,Many
амінь,amen
явно,obviously
поїдеш,You will go
красиво,beautifully
пишу,I write
тихіше,Hush
встречаться,will be stuck
жертв,victims
покое,Pokoe
бабуся,grandmother
считаешь,You read
помогу,help
все-таки,though
побачите,You will see
їжа,food
спробую,I will try
підходить,Fits
люблять,love
захід,West
діб,days
тварин,Animals
поставити,put
залишу,I will leave
небагато,a bit
бажаєте,Wish
кинути,to quit
вещь,herself
хватает,Grazing
важливе,Important
щаслива,Happy
легче,lightly
позвольте,Allow
понравится,Make you
дурний,stupid
лайна,Lin
проходьте,Go
сержанте,Sergeant
планети,planets
шлюб,marriage
существует,Supervisory
коня,horse
вільний,free
називати,call
голодний,hungry
уходить,enters
компанія,company
пекло,hell
новая,New
дозволу,permission
необхідно,necessary
маленькі,Little
камера,cell
таксі,Taxi
баксів,Bucks
назвав,named
вистачає,There is enough
приехал,Aging
купу,pile
кріс,Chris
позвонил,Ab
дозволю,Allow
слушать,They are going to
постой,stand
останется,Remember
наверняка,Holf
еге,eh
спробуйте,Try
кожна,each
бояться,They are afraid
новое,New
браво,Bravo
нашем,ours
щиро,sincerely
знайомі,familiar
чувствовать,hear
допоміг,Helped
узнала,She learned
частину,part
двери,Doors
вважають,believe
забуду,I will forget
почала,She started
удалось,managed
раза,a time
найди,Find
заставить,will make
разумеется,It is cut
убирайся,Get well
побачу,I will see
украл,Ukraine
мем,meme
троє,three
плохой,Snut
пак,pack
донні,Donny
кінь,horse
неважливо,does not matter
розповідав,He told
убедиться,will be killed
провина,fault
помру,I will die
штук,pieces
платье,Play
беги,Begs
родини,families
кохана,beloved
суть,essence
хаус,House
отпусти,Sweet it
уряд,government
бяе,Buea
справлюсь,I'll cope
вихідні,weekend
волнует,Wave
допомагає,Helps
шум,noise
увидишь,You drive
вернется,Return
вбила,Killed
игру,Game
дорогий,dear
прийду,I will come
офисе,Office
попросил,asked
дни,the days
счастлив,Starred
двигаться,is mounted
віддав,gave
мозку,brain
помітив,noticed
забудьте,Forget
прийдуть,will come
сотні,Hundreds
момента,the moment
їхній,their
лейтенант,lieutenant
діяти,act
милость,mercy
попал,Pour
росіяни,Russians
наближається,is approaching
начальник,head
кончено,Concer
живеш,You live
ближе,Close
плачу,I cry
операції,Operations
ложь,bed
розмови,talk
вечно,Vene
ніде,nowhere
тридцять,thirty
джека,Jack
минулої,past
говоримо,We talk
идиот,Idiot
уб,Ub
правил,rules
вічно,forever
ищу,I will
дістатися,to get to
білий,white
па,pas
контракт,contract
срочно,Right
стан,state
камери,cameras
нових,new ones
бігти,run
майбутнього,the future
собак,dogs
задоволення,pleasure
найкраща,The best
повернулися,returned
тримаю,I keep
керувати,manage
гадаєте,You think
суп,soup
получше,more
женой,Zhenoy
межі,borders
наверху,on top
купол,dome
учитель,teacher
изменить,Named
роберт,Robert
лікарню,Hospital
повільно,slow
моря,sea
заплачу,I'll pay
човен,boat
еямбй,Eyambi
вікна,windows
избавиться,will come out
повернемося,Let's get back
сделку,Sad
грав,played
вмію,I can
пітере,Peter
болю,pain
трапиться,will happen
щасти,Happiness
створити,Create
фунтів,pounds
опусти,Lower
минуло,have passed
начали,They started
майор,major
дозволив,allowed
очах,eyes
помните,Remove
еда,Ed
лемъ,Lem
пройшов,passed
ігри,Games
видимо,visibly
знайде,will find
провели,spent
всём,Everything
містера,Mr.
народився,Born
томми,Tommy
нога,leg
смогли,Smoke
божевілля,madness
исправить,will go
живі,alive
планету,planet
вирішити,solve
бросил,Brosil
сестри,sisters
вашем,Vashem
відсотків,percentage
дітьми,children
обережніше,Go easy
режисер,director
нравятся,They will not
тайлер,Tyler
кьфй,KIFY
виноват,The guilty
куча,The bush
написал,Writing
считает,Reading
йюй,Yui
готелі,Hotels
скотт,Scott
надія,hope
плач,weep
ходили,Went
шматок,piece
прикро,sorry
помог,help
новую,New
звонок,The deck
лично,Person
захищати,protect
ногами,legs
жартую,I kidding
благодарю,I am gratifying
бажаю,I wish
борт,board
радістю,joy
нормі,norm
хён,Hyon
смотрю,Smoke
виходь,Go out
телевізор,TV
какие-то,Kakie
відповісти,answer
зробіть,Do
зупинись,Stop
кинув,threw
аа,AA
прям,straight
відійди,Come on
явиться,will appear
пацан,The kid
наверно,Currently
устал,Ustal
очей,eye
їж,Eat
лінії,lines
справедливо,rightly
вмієш,You can
докази,Evidence
перші,first
такси,Taxes
місцях,places
оставьте,Keep
попросить,will ask
збираємося,We are going
суддя,judge
чувство,sensation
частиною,part
квартира,flat
увидела,Ided
гадав,thought
клара,Clara
ранок,morning
джейкоб,Jacob
каково,Kakkov
живет,lives
візьмемо,Take
концерт,concert
іти,go
общем,General
послав,sent
шукає,looking for
неначе,as though
розмова,conversation
питаю,I ask
використати,use
побачила,She saw
кухні,kitchens
вільна,free
рух,movement
повідомити,report
ху,Huh
меган,Megan
собираемся,We do it
виграв,won
когда-либо,Kogda-Libo
впав,fell
уйду,I will go
дитинко,Baby
змусити,to force
одночасно,simultaneously
ключи,The key
предложил,Predit
привело,brought
припинити,to stop
считаю,I read
рази,times
ребят,Reb
ледь,hardly
водою,with water
скажет,will say
любові,love
защищать,They will shrug
приводу,the drive
зуби,teeth
дивлюся,I look
самолет,Samole
детьми,Demetues
госпожа,Lord
якогось,Someone
смак,taste
недостаточно,Failure
подождать,Pad
курсі,course
главное,Head
жах,horror
встретимся,Get out
виродок,monster
невероятно,Narily
дочери,Doctors
вітер,wind
язані,Audited
будущее,The future
операции,Operations
бобби,Bobba
яний,Yanny
чутки,Rumors
молода,bride
коліна,lap
работаешь,Work
повертатися,turn
яти,I you
друге,Second
нравишься,You get your way
діло,work
четверо,four
країну,country
біллі,Billy
фактично,actually
девушкой,Devat
гю,Guy
секундочку,second
спокої,rest
прошла,She has gone
відповідальність,responsibility
минулому,past
дії,action
ааа,AAA
каком,Kuckle
кількість,number
різних,different
дурня,The fool
обговорити,to discuss
ситуацію,situation
гарри,Harry
результат,result
рей,Ray
бачимо,We see
буквально,literally
лучшее,better
девушек,Devushek
дослідження,research
нож,The knife
листи,letters
усіма,to all
дедушка,Dedishka
кафе,cafe
кинь,Throw
большие,Bolshee
прекрасний,beautiful
ай,Ai
праворуч,right
війні,war
угоду,agreement
шутишь,You shift
ч,h
едем,Eden
напевне,Probably
глибоко,deep
заходи,events
собиралась,She kept
ван,Van
погляд,view
язки,Languages
джереми,Jeremy
списку,List
бабушка,Grandmother
тела,Tel
дин,Din
дракона,Dragon
группа,group
забрала,She took away
ставки,Bids
поняття,concept
малюк,baby
рукою,hand
оставила,She left
розумний,clever
відійдіть,Get away
сходить,goes down
принесли,brought
соромно,ashamed
цілу,whole
сердца,Hearts
мозг,brain
уейворд,Wiward
розмову,The conversation
професоре,Professor
когда-то,The cogd
задницу,The back
сомневаюсь,I am
бесс,Bess
статися,happen
вкусно,tissue
следовало,Head
великих,large
домом,home
допоможеш,You will help
менеджер,manager
вчасно,in time
залишайся,Stay
семь,Seven
частью,a piece
ролі,roles
расслабься,Smoke
домовилися,Agreed
чорна,Black
прокурор,prosecutor
поганого,Bad
видео,Video
скажем,Let's say
отдать,To give
гості,Guests
другому,the second
понравилось,It was paired
менее,Meh
јчй,јchy
сміх,laughter
счастлива,Happy
чекаємо,Looking forward
остался,Restant
пропоную,I propose
стол,Table
отримаєте,Get
шукав,I was looking for
отак,Oh yeah
дурниці,nonsense
увижу,I will be induced
боятися,fear
надії,Hope
мсьє,Monsieur
попросив,asked
беременна,Beremen
разговор,Driving
ма,ma
кому-то,Someone
лица,Face
времена,Time
султано,Sultano
партії,parties
умови,conditions
найкращі,The best
плохая,Squal
брехати,lie
колір,color
получишь,You will get
пайнс,Pines
зустрів,He met
решить,Rounds
приехала,She came
веде,leads
смертю,death
системи,Systems
квіти,Flowers
девчонка,Devchonka
ворога,the enemy
останнього,the last
вижити,survive
собаку,The dog
бизнес,Business
залишили,left
носа,nose
оставайся,Talle
дойль,Doyle
нічим,nothing
попросити,ask
по-твоему,Thus
червоний,red
втомився,Tired
навряд,hardly
деяких,some
віддам,I will give
сбежать,They run
джиммі,Jimmy
перемогти,to win
лабораторії,laboratories
сир,cheese
острова,island
бігом,Running
поклади,deposits
сможете,Smoke
влада,power
енфьоей,Enfyoy
годинник,watch
край,land
чарльз,Charles
молоко,milk
крики,shouting
часів,times
можливості,Opportunities
книжку,The book
метрів,meters
отця,Father
покласти,put
закончили,Outked
хороші,good
помогает,Help
живемо,We live
продолжать,They will
так.,so.
остановись,Out
почекайте,Wait
согласна,Soglass
справжні,Real
принял,Casted
потреби,need
газ,gas
контакт,contact
завести,to get
спал,SPAL
мета,goal
холмс,Holmes
столом,table
устала,got up
розслідування,investigation
очима,eyes
дзвони,The bells
земле,Land
заплатить,will pay
джейку,Jake
картину,Picture
закончится,will get well
помогать,help
починати,start
язаний,Ined
вернись,Come back
решать,They re -ish
судя,Judge
уолтер,Walter
мока,MOCA
ситуації,situation
подивимось,Let's see
ждет,Zhdet
сходи,stairs
прощай,Goodbye
умру,I have a dinner
вдасться,Will succeed
ліпше,better
однако,however
свята,Holidays
какую,Power
сніданок,breakfast
ніг,legs
віку,age
татку,Dad
гору,Mountain
зірок,stars
примерно,frozen
назвати,to name
принимать,They will adhere
сиди,Sit
тоні,Tony
колишній,former
любят,Love
ціну,the price
потеряли,They shaved
йшов,Went
беспокойся,Beza
аніж,nor
полі,poly
лєнка,Lenka
убийстве,muddy
кое,Coe
дах,roof
половиною,half
ходила,Went
тюрьму,Prison
повна,full
сорок,forty
присягаюся,I swear
номера,numbers
заміж,Marriage
доволі,enough
парк,park
желание,Zalana
десяти,ten
сміття,waste
джеймсе,James
мальчика,The fry
відповідає,replies
совет,Sow
шукають,are looking for
подумали,They thought
квитки,Tickets
стріляй,Shoot
автор,author
карту,map
является,It is present
тією,by that
енергії,energy
ситуации,Situations
джерри,Jerry
пропозиція,offer
навчання,teaching
нью-йорка,New York
виходу,the exit
вечера,Evening
поїзд,train
уявляєш,You imagine
компания,Company
жил,vein
іншої,another
миру,Peace
варіант,version
користь,benefit
підуть,will go
дзвонить,calls
ошибка,Oshka
пісні,Songs
покарання,punishment
займатися,engage in
операцію,Operation
бити,beat
папочка,The folder
закончить,will go
ответить,will open
запропонувати,offer
ледве,barely
мнение,Monetius
вибух,explosion
чудові,Wonderful
повернись,Come back
неба,heaven
снять,Sleep
ричард,Richard
пришло,It has come
кожну,everyone
модель,model
маленького,Little
існують,exist
неприятности,Difficulty
знайдуть,will find
бросить,Breaks
однією,one
недалеко,near
напали,They attacked
вряд,Government
золота,Gold
сильна,Strong
даних,data
кидай,Throw
ліс,forest
вдячний,grateful
юн,Yun
повернулася,Returned
дані,data
дурна,stupid
провів,spent
грейс,Grace
нудно,boring
трон,throne
безумовно,certainly
плану,plan
юфбн,Yufbn
псих,psycho
узнали,They found out
єте,Have
інформація,information
померли,died
козел,goat
убивал,Killed
найкращого,the best
билл,Bill
гри,games
девіде,David
кбль,KBL
важкий,heavy
новим,new
південь,South
немов,like
умрет,Umret
чудо,miracle
офіс,office
новина,news
любите,Love
ліворуч,left
змогла,could
веди,Veda
збираються,gather
нечто,not
навпаки,vice versa
мусив,He had to
схожі,Similar
поступить,will come
двоих,Two
пса,PSA
песню,Song
зніми,Remove
пів,half
кровью,Blood
частини,parts
каких,What
їдеш,You go
почалося,began
лме,LME
искал,Iskal
втратити,to lose
жертву,victim
штат,state
якості,Quality
свідчення,testimony
ребекка,Rebecca
здоровий,healthy
одружитися,get married
починає,Starts
делали,They made
хвилює,excites
сумно,sadly
сумку,The bag
приходится,I come
глазах,Eyes
дізнається,learns
мусите,Must
пакет,package
сцену,scene
начнем,Out
погане,Bad
сожалению,Singing
открой,Otkrai
дурні,stupid
шляхом,by
мудак,Asshole
слегка,Sleep
отож,So
довгий,long
лондон,London
займається,engaged in
идут,go
дружище,buddy
квартире,The apartment
кращі,The best
замку,castle
полицейский,Police
гйбфя,Gibfia
повторюю,I repeat
дівчини,Girl
чорні,Black
монстр,Monster
розуміє,understands
разница,Red
подружка,Girlfriend
фотографии,Photographers
закінчили,have finished
пальці,fingers
ешь,Ash
рівні,equal
люб,LOVE
танцювати,dance
газу,gas
сериале,serial
сделано,Sidlano
наодинці,Alone
опасно,Bypass
стиль,style
по-настоящему,in a dawn
первого,first
ятайте,Pit
подивитись,Look
мйб,MIB
кан,Kan
їхніх,their
читала,I read
продав,sell
сміється,laughs
мюл,Mul
воля,will
бежать,flew
уважно,closely
шкодую,I regret
бля,BLA
держаться,are kept
блін,Damage
схожа,Similar
остальное,Abskid
делом,by the name
здурів,Down
працюєте,You work
справиться,Will cope
теми,topics
контролировать,Control
удачі,good luck
кращим,better
по-перше,Firstly
покинути,to leave
виправити,to correct
відповідай,Answer
вогню,fire
внимания,Sun
вкус,Bite
нести,carry
припиніть,stop
зірка,star
проходить,passes
побери,Pay
збрехав,Lied
враження,impression
чак,Chuck
нещасний,unhappy
ісус,Jesus
ендрю,Andrew
поклав,put
читать,Read
несмотря,Nesmotra
уехал,Uehal
осторожно,Orthodox
вважав,believed
послугу,service
корабля,ship
нагорі,on the mountain
битва,battle
использовал,Volsal
мн,Mn
зверху,from above
назвали,named
руш,rush
величність,majesty
всіма,everyone
заборонено,forbidden
здравствуй,Hello
диво,miracle
почуваюся,I feel
спробуємо,Let's try
денні,Danny
встретил,Stretched
закінчується,ends
чжон,Zhon
врешті,Finally
підняти,to raise
зберегти,Save
взглянуть,They will look
дають,give
ям,pits
мертвих,dead
обсудить,will be shocked
свобода,freedom
капітана,Captain
уайт,White
класу,class
честер,Chester
цілі,purposes
губернатор,governor
большинство,Bolshinism
побачить,will see
похожа,Crown
новой,New
поїсти,eat
прибрати,to remove
елена,Elena
сработает,Srabotaeta
майка,Mike
отдел,Out
особливий,special
доказать,prove
двома,two
розумна,clever
коней,horses
чикаго,Chicago
події,events
повірте,Believe me
пельку,The pellet
контролювати,control
качестве,Kachastve
лето,The summer
гляньте,Look
любое,Any
дозвіл,permission
участок,Parts
татко,Dad
имена,name
операция,Operation
прив,creep
предложить,will make
біс,Bis
по-прежнему,In the way
е-е,eh
партнер,partner
заберіть,Take away
везде,Whenever
ліжка,beds
чего-то,Thing something
хмм,hmm
отпечатки,Swing
прекратить,Pick up
маленьку,Little
загинули,They died
відчував,felt
оставлю,I will leave
страху,fear
